pick_date,appellation_new,load_quantity
2019-09-13,Los Carneros,96.725
2019-09-13,Paicines,96
2019-09-13,Russian River Valley,18.2
2019-09-13,Rutherford,13
2019-09-13,San Lucas,110
2019-09-13,Santa Maria Valley,163.6
2019-09-13,Sloughhouse,168
2019-09-13,Sonoma Valley,4.7
2019-09-13,Yountville,13.5
2019-09-14,Los Carneros,145
2019-09-14,Petaluma Gap,3.8
2019-09-16,California Shenandoah Valley,144
2019-09-16,Clarksburg,264
2019-09-16,Jahant,75
2019-09-16,Los Carneros,176.225
2019-09-16,Oak Knoll District of Napa Valley,50.05
2019-09-16,Paicines,96
2019-09-16,Paso Robles,42
2019-09-16,Russian River Valley,3
2019-09-16,San Lucas,100
2019-09-16,Santa Maria Valley,125.4
2019-09-16,Sloughhouse,70
2019-09-16,Stags Leap District,23
2019-09-17,California Shenandoah Valley,156
2019-09-17,Clarksburg,144
2019-09-17,Los Carneros,161
2019-09-17,Oakville,34
2019-09-17,Paicines,96
2019-09-17,Paso Robles,72
2019-09-17,Russian River Valley,6.3
2019-09-17,San Lucas,144
2019-09-17,Santa Maria Valley,112.12
2019-09-18,California Shenandoah Valley,48
2019-09-18,Calistoga,32
2019-09-18,Clarksburg,96
2019-09-18,Los Carneros,182.575
2019-09-18,Paicines,96
2019-09-18,Paso Robles,63
2019-09-18,Rutherford,12
2019-09-18,San Lucas,134
2019-09-18,Santa Maria Valley,130
2019-09-18,Yountville,5
2019-09-19,Calistoga,62.8
2019-09-19,Happy Canyon of Santa Barbara,46
2019-09-19,Jahant,0
2019-09-19,Lodi,144
2019-09-19,Los Carneros,190.6
2019-09-19,Paicines,96
2019-09-19,Paso Robles,14
2019-09-19,San Lucas,208
2019-09-19,San Miguel District,48
2019-09-19,Santa Lucia Highlands,0
2019-09-19,Santa Maria Valley,179
2019-09-19,St. Helena,12
2019-09-19,Sta. Rita Hills,23.57
2019-09-20,Alexander Valley,6.8
2019-09-20,Calistoga,25
2019-09-20,Happy Canyon of Santa Barbara,47
2019-09-20,Jahant,72
2019-09-20,Lodi,168
2019-09-20,Los Carneros,255.6
2019-09-20,Paicines,48
2019-09-20,San Lucas,111.8
2019-09-20,San Miguel District,75
2019-09-20,Santa Lucia Highlands,48
2019-09-20,Santa Maria Valley,153
2019-09-20,Sta. Rita Hills,10
2019-09-21,Alexander Valley,30
2019-09-21,Calistoga,42.3
2019-09-21,Los Carneros,113
2019-09-21,Oakville,48
2019-09-21,Petaluma Gap,3.1
2019-09-21,Rutherford,43.58
2019-09-21,Sonoma Valley,58.4
2019-09-23,Alexander Valley,33.5
2019-09-23,California Shenandoah Valley,144
2019-09-23,Calistoga,20
2019-09-23,Clements Hills,48
2019-09-23,Knights Valley,46
2019-09-23,Los Carneros,88.8
2019-09-23,Mendocino,72
2019-09-23,Oak Knoll District of Napa Valley,67.5
2019-09-23,Oakville,22
2019-09-23,Paicines,96
2019-09-23,Paso Robles,0
2019-09-23,Russian River Valley,6.3
2019-09-23,Rutherford,9.3
2019-09-23,San Lucas,146
2019-09-23,Santa Lucia Highlands,75
2019-09-23,Santa Maria Valley,98
2019-09-24,Calistoga,9
2019-09-24,Clements Hills,96
2019-09-24,Happy Canyon of Santa Barbara,48
2019-09-24,Los Carneros,145.645
2019-09-24,Mendocino,48
2019-09-24,Oak Knoll District of Napa Valley,57
2019-09-24,Oakville,35
2019-09-24,Paicines,72
2019-09-24,Paso Robles,59
2019-09-24,San Lucas,188
2019-09-24,Santa Lucia Highlands,144
2019-09-24,Santa Maria Valley,154
2019-09-24,Sonoma Valley,9
2019-09-24,Yountville,55.8
2019-09-25,Calistoga,12
2019-09-25,Clements Hills,48
2019-09-25,Happy Canyon of Santa Barbara,44
2019-09-25,Los Carneros,123.5
2019-09-25,Oakville,83
2019-09-25,Paicines,96
2019-09-25,Paso Robles,131
2019-09-25,San Lucas,48
2019-09-25,Santa Lucia Highlands,144
2019-09-25,Santa Maria Valley,143
2019-09-25,Yountville,55
2019-09-26,Alexander Valley,30
2019-09-26,Calistoga,75.7
2019-09-26,Clements Hills,48
2019-09-26,Happy Canyon of Santa Barbara,88
2019-09-26,Los Carneros,174.05
2019-09-26,Mokelumne River,216
2019-09-26,Napa Valley,19
2019-09-26,Oak Knoll District of Napa Valley,97
2019-09-26,Oakville,44
2019-09-26,Paicines,50
2019-09-26,Paso Robles,108
2019-09-26,San Lucas,96
2019-09-26,Santa Lucia Highlands,144
2019-09-26,Santa Maria Valley,170
2019-09-26,Sonoma Valley,15
2019-09-27,Alexander Valley,46
2019-09-27,Calistoga,41.3
2019-09-27,Clements Hills,0
2019-09-27,Coombsville,10
2019-09-27,Happy Canyon of Santa Barbara,88
2019-09-27,Los Carneros,188.3
2019-09-27,Mokelumne River,168
2019-09-27,Oak Knoll District of Napa Valley,25
2019-09-27,Oakville,124
2019-09-27,Paicines,96
2019-09-27,Paso Robles,148
2019-09-27,Rutherford,16.137
2019-09-27,San Lucas,120
2019-09-27,Santa Lucia Highlands,0
2019-09-27,Santa Maria Valley,156.5
2019-09-27,St. Helena,15
2019-09-27,Yamhill-Carlton,6
2019-09-28,Alexander Valley,22
2019-09-28,Calistoga,42
2019-09-28,Dry Creek Valley,16
2019-09-28,Los Carneros,167.35
2019-09-28,Oak Knoll District of Napa Valley,64
2019-09-28,Oakville,115
2019-09-30,Alexander Valley,30
2019-09-30,Calistoga,47.4
2019-09-30,Clarksburg,120
2019-09-30,Happy Canyon of Santa Barbara,132
2019-09-30,Los Carneros,194
2019-09-30,Mokelumne River,72
2019-09-30,Napa Valley,15
2019-09-30,Oak Knoll District of Napa Valley,65
2019-09-30,Oakville,88.2
2019-09-30,Paicines,92
2019-09-30,Paso Robles,218
2019-09-30,Rutherford,5.5
2019-09-30,San Lucas,216
2019-09-30,Santa Lucia Highlands,24
2019-09-30,Santa Maria Valley,44
2019-09-30,St. Helena,65
2019-10-01,Alexander Valley,66.7
2019-10-01,Big Valley District-Lake County,132
2019-10-01,Calistoga,160
2019-10-01,Clarksburg,240
2019-10-01,Clements Hills,48
2019-10-01,Coombsville,28
2019-10-01,Diamond Mountain District,18
2019-10-01,Happy Canyon of Santa Barbara,248.4
2019-10-01,Knights Valley,82
2019-10-01,Los Carneros,403.6
2019-10-01,Oak Knoll District of Napa Valley,94
2019-10-01,Oakville,40
2019-10-01,Paicines,192
2019-10-01,Paso Robles,572
2019-10-01,Red Hills Lake County,80
2019-10-01,Rutherford,48
2019-10-01,San Lucas,480
2019-10-01,Santa Lucia Highlands,336
2019-10-01,Santa Maria Valley,88
2019-10-01,St. Helena,44
2019-10-01,Stags Leap District,36
2019-10-02,Alexander Valley,77.6
2019-10-02,Big Valley District-Lake County,44
2019-10-02,Calistoga,52.5
2019-10-02,Clements Hills,96
2019-10-02,Dry Creek Valley,18
2019-10-02,Happy Canyon of Santa Barbara,240
2019-10-02,Los Carneros,79.5
2019-10-02,Mokelumne River,144
2019-10-02,Oak Knoll District of Napa Valley,107
2019-10-02,Oakville,26.375
2019-10-02,Paicines,120
2019-10-02,Paso Robles,116
2019-10-02,Red Hills Lake County,47
2019-10-02,Rutherford,15.6
2019-10-02,San Lucas,168
2019-10-02,Santa Lucia Highlands,96
2019-10-02,Santa Maria Valley,1
2019-10-02,Sonoma Valley,9
2019-10-02,Stags Leap District,15
2019-10-02,Yountville,38
2019-10-03,Alexander Valley,37
2019-10-03,Big Valley District-Lake County,44
2019-10-03,Happy Canyon of Santa Barbara,232
2019-10-03,Knights Valley,18
2019-10-03,Los Carneros,82.2
2019-10-03,Mendocino,17
2019-10-03,Mokelumne River,288
2019-10-03,Mt. Veeder,7
2019-10-03,Napa Valley,32
2019-10-03,Oak Knoll District of Napa Valley,36
2019-10-03,Oakville,83.6
2019-10-03,Paicines,96
2019-10-03,Paso Robles,123
2019-10-03,Rutherford,115.005
2019-10-03,San Lucas,216
2019-10-03,Santa Lucia Highlands,96
2019-10-03,Santa Maria Valley,10
2019-10-03,St. Helena,21
2019-10-03,Yountville,56.55
2019-10-04,Alexander Valley,43
2019-10-04,Calistoga,18.3
2019-10-04,Happy Canyon of Santa Barbara,172
2019-10-04,High Valley,56
2019-10-04,Knights Valley,59
2019-10-04,Los Carneros,149
2019-10-04,Mokelumne River,144
2019-10-04,Oak Knoll District of Napa Valley,60
2019-10-04,Oakville,73.375
2019-10-04,Paicines,72
2019-10-04,Paso Robles,205
2019-10-04,Petaluma Gap,3
2019-10-04,San Lucas,252
2019-10-04,Santa Lucia Highlands,96
2019-10-04,Stags Leap District,30
2019-10-04,Yountville,0
2019-10-05,Alexander Valley,41.2
2019-10-05,Knights Valley,69.15
2019-10-05,Los Carneros,80
2019-10-05,Moon Mountain District Sonoma County,19.5
2019-10-05,Rutherford,23.915
2019-10-07,Calistoga,22
2019-10-07,Clements Hills,0
2019-10-07,Coombsville,6
2019-10-07,Happy Canyon of Santa Barbara,0
2019-10-07,Los Carneros,72
2019-10-07,Napa Valley,13.05
2019-10-07,Oak Knoll District of Napa Valley,0
2019-10-07,Oakville,37.7
2019-10-07,Paicines,0
2019-10-07,Paso Robles,0
2019-10-07,Petaluma Gap,3
2019-10-07,San Lucas,0
2019-10-07,Sloughhouse,0
2019-10-07,St. Helena,15
2019-10-07,Stags Leap District,4
2019-10-08,Calistoga,6
2019-10-08,Clements Hills,0
2019-10-08,Coombsville,0
2019-10-08,Los Carneros,48
2019-10-08,Mokelumne River,0
2019-10-08,Napa Valley,0
2019-10-08,Oakville,17.85
2019-10-08,Paicines,0
2019-10-08,Paso Robles,0
2019-10-08,Rutherford,16.12
2019-10-08,San Lucas,0
2019-10-08,Sloughhouse,0
2019-10-08,St. Helena,40
2019-10-09,Calistoga,0
2019-10-09,Clements Hills,0
2019-10-09,Los Carneros,0
2019-10-09,Mokelumne River,0
2019-10-09,Napa Valley,0
2019-10-09,Oak Knoll District of Napa Valley,0
2019-10-09,Paicines,0
2019-10-09,Paso Robles,0
2019-10-09,Rutherford,27.75
2019-10-09,San Lucas,0
2019-10-09,San Miguel District,0
2019-10-09,Sonoma Valley,8.3
2019-10-09,St. Helena,16
2019-10-10,Knights Valley,76
2019-10-10,Mendocino,0
2019-10-10,Mokelumne River,0
2019-10-10,Moon Mountain District Sonoma County,14
2019-10-10,Paicines,0
2019-10-10,Paso Robles,48
2019-10-10,San Lucas,0
2019-10-10,San Miguel District,44
2019-10-10,St. Helena,0
2019-10-11,Atlas Peak,0
2019-10-11,Clarksburg,0
2019-10-11,Clements Hills,0
2019-10-11,Mokelumne River,0
2019-10-11,Napa Valley,0
2019-10-11,Paso Robles,0
2019-10-11,San Lucas,0
2019-10-11,San Miguel District,0
2019-10-11,St. Helena,0
2019-10-11,Stags Leap District,0
2019-10-12,Oak Knoll District of Napa Valley,0
2019-10-12,Yountville,0
2019-10-14,Clarksburg,0
2019-10-14,Clements Hills,0
2019-10-14,Lodi,0
2019-10-14,Mokelumne River,0
2019-10-14,Paso Robles,0
2019-10-14,San Miguel District,0
2019-10-15,Paso Robles,0
2019-10-15,San Miguel District,0
2019-10-16,Paso Robles,0
2019-10-16,San Miguel District,0
2019-10-17,Paso Robles,0
2019-10-17,San Miguel District,0
2019-10-18,Paso Robles,0
