lat,lng,set
50.899518,-0.024892,OSM
53.225871,-4.136395,OSM
50.892098,-0.010308,OSM
51.092715,-2.955913,OSM
50.873116,0.021124,OSM
50.902705,-0.061445,OSM
50.903735,-0.073822,OSM
51.531301,-3.638143,OSM
50.932051,-0.109809,OSM
51.130988,-2.997848,OSM
50.927141,-0.162606,OSM
50.915080,0.304300,OSM
50.873973,-0.004065,OSM
51.097572,-3.539351,OSM
50.872348,-0.003344,OSM
51.126591,-3.004415,OSM
50.921294,-0.060599,OSM
50.892832,0.202360,OSM
50.937226,-0.060150,OSM
51.485919,-2.605740,OSM
50.874677,0.007805,OSM
51.011317,-3.119176,OSM
50.874639,0.003699,OSM
58.995488,-3.292723,OSM
50.875718,0.009144,OSM
59.249307,-2.861153,OSM
50.870320,0.011152,OSM
51.397807,0.018805,OSM
50.813827,-0.006387,OSM
51.081440,-3.283759,OSM
50.856821,-0.022344,OSM
51.257007,0.023935,OSM
50.861350,-0.025781,OSM
51.227524,-0.335159,OSM
50.928862,-0.059602,OSM
53.193513,-2.877603,OSM
50.874267,0.011375,OSM
57.582798,-3.871088,OSM
50.919796,-0.195871,OSM
51.447951,-2.845581,OSM
50.867580,0.024785,OSM
57.566266,-4.436734,OSM
50.915913,0.033474,OSM
52.027099,0.038345,OSM
50.897210,0.004230,OSM
53.076401,-2.511527,OSM
50.903864,-0.008457,OSM
51.396061,-2.639911,OSM
50.938253,-0.031477,OSM
51.025419,-0.413571,OSM
50.852921,0.106851,OSM
51.730566,-2.849195,OSM
53.322296,-2.723204,OSM
53.451426,-2.683775,OSM
50.947829,4.050000,OSM
51.512054,-3.132305,OSM
51.343781,-0.062370,OSM
53.302307,-3.811375,OSM
51.130872,-0.403114,OSM
50.815412,-0.447081,OSM
50.925871,0.165544,OSM
51.805331,-3.922739,OSM
50.972551,0.012245,OSM
51.099220,0.033353,OSM
53.060953,-3.370636,OSM
51.437067,-2.544365,OSM
51.318729,-0.070129,OSM
51.078301,-0.291319,OSM
51.320866,-0.144276,OSM
51.466272,-2.547449,OSM
51.183831,-3.540508,OSM
51.138779,-3.006106,OSM
50.893722,0.059395,OSM
52.644354,-3.956169,OSM
50.971678,-0.004251,OSM
57.470493,-4.194922,OSM
50.955545,0.036543,OSM
51.126622,-3.025857,OSM
50.939962,0.174486,OSM
51.046568,-0.119089,OSM
50.928679,0.183926,OSM
58.970878,-2.953472,OSM
51.456330,-2.621760,OSM
50.979099,0.010058,OSM
50.919673,0.199569,OSM
58.952089,-2.849407,OSM
50.910541,0.209933,OSM
57.478765,-6.430674,OSM
50.906927,0.195319,OSM
51.867580,-3.913237,OSM
50.904186,0.171625,OSM
59.137952,-3.173676,OSM
50.912446,0.156255,OSM
59.154301,-2.931159,OSM
50.928878,0.135195,OSM
51.042016,-3.079538,OSM
50.870608,0.145384,OSM
53.011965,-3.850757,OSM
50.892958,0.057527,OSM
51.438013,-2.493463,OSM
50.898697,0.135605,OSM
53.066956,-3.016562,OSM
50.861916,0.068304,OSM
51.753126,-0.341312,OSM
50.873459,0.067581,OSM
51.840334,-4.157351,OSM
50.908390,0.128518,OSM
51.054337,-3.197007,OSM
50.845899,0.086851,OSM
51.443561,-2.604010,OSM
50.882792,0.080025,OSM
53.402241,-2.331204,OSM
50.898363,0.124900,OSM
52.073517,-3.791476,OSM
50.922499,-0.001221,OSM
51.442217,-2.856334,OSM
50.914362,0.019516,OSM
51.982975,-4.061515,OSM
50.939745,0.029135,OSM
51.749033,-3.378124,OSM
50.962958,0.006345,OSM
50.919375,-0.051999,OSM
50.957527,-0.018987,OSM
52.048578,-0.014952,OSM
50.905129,0.037481,OSM
53.390061,-3.179581,OSM
50.935288,0.006425,OSM
51.885259,-4.067119,OSM
50.924328,0.019929,OSM
57.490823,-4.225021,OSM
50.935430,0.126762,OSM
51.083820,-3.294331,OSM
51.398497,0.009912,OSM
57.501410,-4.246987,OSM
51.400806,0.018400,OSM
