x,y,value
285.0000002,-51,6162.095239257812
287.0000002,-51,1176.1657958984374
283.0000002,-48.9999998,150.70059204101562
285.0000002,-48.9999998,25902.93726348877
287.0000002,-48.9999998,38016.19577636719
289.0000002,-48.9999998,24423.622091674806
291.0000002,-48.9999998,12209.73428955078
167.0000002,-46.9999998,20.936281871795654
169.0000002,-46.9999998,15163.108251953126
285.0000002,-46.9999998,77427.53311576843
287.0000002,-46.9999998,162673.672265625
289.0000002,-46.9999998,114126.37566528321
291.0000002,-46.9999998,258936.14667968752
293.0000002,-46.9999998,2233.2431884765624
167.0000002,-44.9999998,3240.473565673828
169.0000002,-44.9999998,122419.12833251953
171.0000002,-44.9999998,106651.20998535155
285.0000002,-44.9999998,64041.97779693604
287.0000002,-44.9999998,491650.27489013673
289.0000002,-44.9999998,98315.95280761718
291.0000002,-44.9999998,418025.6564117432
293.0000002,-44.9999998,60210.467187500006
145.0000002,-42.9999998,9226.109086608887
147.0000002,-42.9999998,1570.7735924243927
169.0000002,-42.9999998,1572.3640411376953
171.0000002,-42.9999998,267904.9973754883
173.0000002,-42.9999998,830231.8483847142
285.0000002,-42.9999998,510039.2444335937
287.0000002,-42.9999998,245760.52323608397
289.0000002,-42.9999998,211913.7185852051
291.0000002,-42.9999998,3552.7278228759765
143.0000002,-40.9999998,892.17880859375
145.0000002,-40.9999998,397497.1356294632
147.0000002,-40.9999998,478087.9286670685
171.0000002,-40.9999998,21353.70892944336
173.0000002,-40.9999998,464345.94112548826
175.0000002,-40.9999998,341660.6864479065
285.0000002,-40.9999998,219696.6833984375
287.0000002,-40.9999998,842554
289.0000002,-40.9999998,9398.197521972657
291.0000002,-40.9999998,18701.42854003906
293.0000002,-40.9999998,7888.959899902344
295.0000002,-40.9999998,3649.9748046875
141.0000002,-38.9999998,137540.3086303711
143.0000002,-38.9999998,1025884.3589230537
145.0000002,-38.9999998,3574582.2476119995
147.0000002,-38.9999998,173345.00865650177
173.0000002,-38.9999998,714303.0695800781
175.0000002,-38.9999998,695167.0473388672
177.0000002,-38.9999998,188716.50214843752
287.0000002,-38.9999998,632451.26875
289.0000002,-38.9999998,8417.864111328125
291.0000002,-38.9999998,8629.106274414062
293.0000002,-38.9999998,101406.66171875
295.0000002,-38.9999998,8449.349536132813
137.0000002,-36.9999998,224.71770420074463
139.0000002,-36.9999998,25708.209231567384
141.0000002,-36.9999998,172361.5047607422
143.0000002,-36.9999998,849862.0424072266
145.0000002,-36.9999998,13701737.947509766
147.0000002,-36.9999998,495273.873413086
149.0000002,-36.9999998,70625.28284454346
175.0000002,-36.9999998,5100.28125
285.0000002,-36.9999998,26442.695703125
287.0000002,-36.9999998,3393713.35390625
289.0000002,-36.9999998,544665.3069335937
291.0000002,-36.9999998,10947.730224609375
21.0000002,-34.9999998,131350.996875
23.0000002,-34.9999998,303358.0490890503
25.0000002,-34.9999998,142375.87646484375
115.0000002,-34.9999998,35099.87141723633
117.0000002,-34.9999998,91010.04317016601
119.0000002,-34.9999998,767.1056483268737
121.0000002,-34.9999998,15.774855041503907
123.0000002,-34.9999998,1.1146883249282837
135.0000002,-34.9999998,67837.8030845642
137.0000002,-34.9999998,361232.02883148193
139.0000002,-34.9999998,3852552.57298584
141.0000002,-34.9999998,84929.51991271973
143.0000002,-34.9999998,63072.0711013794
145.0000002,-34.9999998,193339.8205795288
147.0000002,-34.9999998,390530.23728027346
149.0000002,-34.9999998,526143.1899291993
287.0000002,-34.9999998,2354726.123828125
289.0000002,-34.9999998,2410733.015625
21.0000002,-32.9999998,198943.38940429688
23.0000002,-32.9999998,153608.1353027344
25.0000002,-32.9999998,1906456.2052734375
27.0000002,-32.9999998,39805.9515625
115.0000002,-32.9999998,794528.9774505615
117.0000002,-32.9999998,29641.69576416016
119.0000002,-32.9999998,4229.909819030761
121.0000002,-32.9999998,26809.472953796387
123.0000002,-32.9999998,665.605179977417
131.0000002,-32.9999998,4.071955776214599
133.0000002,-32.9999998,22888.62655072212
135.0000002,-32.9999998,16231.831593322753
137.0000002,-32.9999998,63067.306683731076
139.0000002,-32.9999998,15687.447559738159
141.0000002,-32.9999998,255.11713371276855
143.0000002,-32.9999998,233.27069854736328
145.0000002,-32.9999998,8667.418424224854
147.0000002,-32.9999998,69859.92551879883
149.0000002,-32.9999998,198896.4703857422
287.0000002,-32.9999998,1677914.19140625
289.0000002,-32.9999998,10988177.46015625
295.0000002,-32.9999998,131651.57421875
297.0000002,-32.9999998,62950.09140625
115.0000002,-30.9999998,1000542.7503173827
117.0000002,-30.9999998,17630.62518310547
119.0000002,-30.9999998,4498.221447372436
121.0000002,-30.9999998,68201.30135917664
123.0000002,-30.9999998,254.75551824569703
127.00000019999999,-30.9999998,40.28430519104004
129.0000002,-30.9999998,179.8649331331253
131.0000002,-30.9999998,1783.4073422908782
133.0000002,-30.9999998,2764.7888121128085
135.0000002,-30.9999998,303.8586214065552
137.0000002,-30.9999998,12921.361032056808
139.0000002,-30.9999998,382.7906484603882
145.0000002,-30.9999998,6658.886047363282
147.0000002,-30.9999998,5093.661959838867
149.0000002,-30.9999998,10713.521911621094
153.0000002,-30.9999998,67907.1703125
159.0000002,-30.9999998,2116.2786409378054
287.0000002,-30.9999998,1158.5539306640626
289.0000002,-30.9999998,218789.7913330078
291.0000002,-30.9999998,123738.57880859375
295.0000002,-30.9999998,1707996.734375
297.0000002,-30.9999998,133033.720703125
25.0000002,-28.9999998,269026.934375
27.0000002,-28.9999998,776206.975
113.0000002,-28.9999998,2067.008837890625
115.0000002,-28.9999998,355280.6029312134
117.0000002,-28.9999998,8138.341537857056
119.0000002,-28.9999998,568.1613595962524
121.0000002,-28.9999998,2203.210606956482
123.0000002,-28.9999998,255.57235646247864
131.0000002,-28.9999998,7.261705636978149
133.0000002,-28.9999998,127.36866569519043
135.0000002,-28.9999998,3607.1448932647704
137.0000002,-28.9999998,207.22310268878937
139.0000002,-28.9999998,128.69263877868653
141.0000002,-28.9999998,13.829344558715821
149.0000002,-28.9999998,13839.869049072266
151.0000002,-28.9999998,84292.85366210938
153.0000002,-28.9999998,653625.8629394531
289.0000002,-28.9999998,86287.0015625
291.0000002,-28.9999998,197411.35537109376
293.0000002,-28.9999998,65942.67734375
295.0000002,-28.9999998,5293.4361328125
297.0000002,-28.9999998,23582.428125
311.0000002,-28.9999998,9444.0552734375
21.0000002,-26.9999998,200.61359252929688
23.0000002,-26.9999998,324614.09738769534
25.0000002,-26.9999998,4516260.734765625
27.0000002,-26.9999998,63674464.305273436
29.0000002,-26.9999998,5348569.037695313
31.000000200000002,-26.9999998,157193.615625
113.0000002,-26.9999998,10916.333663916588
115.0000002,-26.9999998,1968.130012512207
117.0000002,-26.9999998,1362.70991563797
119.0000002,-26.9999998,200.22779674530028
121.0000002,-26.9999998,1041.884122800827
123.0000002,-26.9999998,65.84465255737305
125.0000002,-26.9999998,47.32073073387146
127.00000019999999,-26.9999998,1580.1338441371915
129.0000002,-26.9999998,1197.4476952552795
