x,y,value
287.0000002,-55,39999.855560302734
289.0000002,-55,24047.830612182617
291.0000002,-55,47355.78476333618
293.0000002,-55,51915.64375305176
295.0000002,-55,2136.096923828125
285.0000002,-52.9999998,20185.624267578125
287.0000002,-52.9999998,94354.41095733643
289.0000002,-52.9999998,41011.45755004883
291.0000002,-52.9999998,5277.1241455078125
285.0000002,-46.9999998,21326.475833892822
287.0000002,-46.9999998,38551.029388427734
289.0000002,-46.9999998,1420.4210205078125
285.0000002,-44.9999998,23574.513496398926
287.0000002,-44.9999998,48093.41177368164
145.0000002,-42.9999998,19015.472094774246
147.0000002,-42.9999998,1652578.5892839432
285.0000002,-42.9999998,335976.8809814453
287.0000002,-42.9999998,108510.33876800537
289.0000002,-42.9999998,31165.773681640625
143.0000002,-40.9999998,929.2879943847656
145.0000002,-40.9999998,304742.5544643402
147.0000002,-40.9999998,539615.7313680649
285.0000002,-40.9999998,331754.03125
287.0000002,-40.9999998,2847308.076171875
289.0000002,-40.9999998,226361.55673217773
141.0000002,-38.9999998,278212.2844238281
143.0000002,-38.9999998,929652.701305449
145.0000002,-38.9999998,2336531.8556632996
147.0000002,-38.9999998,9999.33310341835
173.0000002,-38.9999998,97406.57693481445
175.0000002,-38.9999998,155043.84017944336
285.0000002,-38.9999998,11359.321838378906
287.0000002,-38.9999998,3580086.76171875
289.0000002,-38.9999998,145039.3837890625
291.0000002,-38.9999998,47351.390625
137.0000002,-36.9999998,378.7309789657593
139.0000002,-36.9999998,81568.85612487793
141.0000002,-36.9999998,539777.5855712891
143.0000002,-36.9999998,724188.1812744141
145.0000002,-36.9999998,4572929.25
285.0000002,-36.9999998,196753.03125
287.0000002,-36.9999998,8129390.4140625
289.0000002,-36.9999998,606027.19775390625
291.0000002,-36.9999998,47229.250732421875
303.0000002,-36.9999998,16783.068359375
347.0000002,-36.9999998,1190.8036804199219
17.0000002,-34.9999998,2261820.375
19.0000002,-34.9999998,8417637.5615234375
21.0000002,-34.9999998,141609.75
115.0000002,-34.9999998,82497.15487670898
117.0000002,-34.9999998,254428.15615844727
119.0000002,-34.9999998,2266.925419807434
135.0000002,-34.9999998,24022.52951812744
137.0000002,-34.9999998,833624.1603088379
139.0000002,-34.9999998,8313158.9295043945
141.0000002,-34.9999998,277461.2295703888
143.0000002,-34.9999998,22785.740524291992
173.0000002,-34.9999998,60203.49108886719
287.0000002,-34.9999998,950849.5029296875
289.0000002,-34.9999998,3122431.4243164062
291.0000002,-34.9999998,23328.7294921875
301.0000002,-34.9999998,14287011.126953125
303.0000002,-34.9999998,2145925.1698379517
305.0000002,-34.9999998,291955.61181640625
17.0000002,-32.9999998,2223388.921875
19.0000002,-32.9999998,14617230.710083008
21.0000002,-32.9999998,71982.69680786133
115.0000002,-32.9999998,5970138.577354431
117.0000002,-32.9999998,87422.90008544922
119.0000002,-32.9999998,3035.212158203125
131.0000002,-32.9999998,1.1603153944015503
133.0000002,-32.9999998,4896.826382756233
135.0000002,-32.9999998,1973.767318725586
137.0000002,-32.9999998,105881.95263671875
139.0000002,-32.9999998,45265.71772003174
141.0000002,-32.9999998,673.24005126953125
143.0000002,-32.9999998,72.77091217041016
281.0000002,-32.9999998,1868.75439453125
287.0000002,-32.9999998,1646524.171875
289.0000002,-32.9999998,26360848.21875
291.0000002,-32.9999998,881509.236328125
301.0000002,-32.9999998,417169.7421875
303.0000002,-32.9999998,138603.8359375
305.0000002,-32.9999998,223724.02801513672
307.0000002,-32.9999998,231223.32470703125
17.0000002,-30.9999998,41102.091908454895
19.0000002,-30.9999998,62643.17575073242
21.0000002,-30.9999998,346.6643981933594
27.0000002,-30.9999998,100004.96875
29.0000002,-30.9999998,323138.5
115.0000002,-30.9999998,7706961.833080769
117.0000002,-30.9999998,69098.75026702881
119.0000002,-30.9999998,280.90631103515625
133.0000002,-30.9999998,327.2935905456543
287.0000002,-30.9999998,89859.30908203125
289.0000002,-30.9999998,250792.75463867188
291.0000002,-30.9999998,794995.6640625
301.0000002,-30.9999998,269489.45703125
303.0000002,-30.9999998,307322.20767211914
305.0000002,-30.9999998,278194.75390625
307.0000002,-30.9999998,15382.6513671875
17.0000002,-28.9999998,100956.5933303833
25.0000002,-28.9999998,540190.86083984375
27.0000002,-28.9999998,4217048.109375
29.0000002,-28.9999998,1166317.0390625
113.0000002,-28.9999998,1472.2195434570312
115.0000002,-28.9999998,203983.04285812378
117.0000002,-28.9999998,602.4262161254883
167.0000002,-28.9999998,9689.8544921875
289.0000002,-28.9999998,7620.855224609375
15.000000199999999,-26.9999998,1187.485689163208
17.0000002,-26.9999998,5083.784217834473
25.0000002,-26.9999998,839923.517578125
27.0000002,-26.9999998,3490369.6396484375
113.0000002,-26.9999998,6874.286769151688
115.0000002,-26.9999998,702.9147825241089
145.0000002,-26.9999998,4251.005199432373
147.0000002,-26.9999998,2116.002712249756
251.0000002,-26.9999998,5473.90087890625
289.0000002,-26.9999998,35179.32666015625
291.0000002,-26.9999998,31442.564453125
23.0000002,-24.9999998,44145.598388671875
25.0000002,-24.9999998,3368807.1577148438
27.0000002,-24.9999998,1360134.7421875
29.0000002,-24.9999998,947301.421875
33.0000002,-24.9999998,56922.580078125
35.0000002,-24.9999998,741687.5859375
113.0000002,-24.9999998,6816.561974287033
115.0000002,-24.9999998,72.28197956085205
131.0000002,-24.9999998,574.0885801315308
133.0000002,-24.9999998,3544.027852535248
135.0000002,-24.9999998,303.540958404541
145.0000002,-24.9999998,225.03016090393066
147.0000002,-24.9999998,566.0103378295898
149.0000002,-24.9999998,6935.88720703125
151.0000002,-24.9999998,8122.720703125
289.0000002,-24.9999998,477.6630554199219
291.0000002,-24.9999998,231951.66625976562
293.0000002,-24.9999998,2685.2467346191406
15.000000199999999,-22.9999998,7765.03987121582
17.0000002,-22.9999998,941840.4735107422
19.0000002,-22.9999998,36142.105224609375
33.0000002,-22.9999998,236825.130859375
35.0000002,-22.9999998,2433338.7807617188
113.0000002,-22.9999998,983.1327037811279
115.0000002,-22.9999998,461.99943923950195
131.0000002,-22.9999998,250.41343307495117
133.0000002,-22.9999998,122306.39060306549
135.0000002,-22.9999998,2827.093687057495
149.0000002,-22.9999998,6173.990447998047
151.0000002,-22.9999998,55069.585205078125
289.0000002,-22.9999998,30330.792114257812
291.0000002,-22.9999998,197126.64916992188
293.0000002,-22.9999998,4222.797180175781
299.0000002,-22.9999998,64272.53015136719
301.0000002,-22.9999998,60202.8798828125
303.0000002,-22.9999998,5452.68212890625
305.0000002,-22.9999998,378057.44921875
307.0000002,-22.9999998,50960.078125
313.0000002,-22.9999998,2554000.578125
315.0000002,-22.9999998,2083102.421875
317.0000002,-22.9999998,1420253.75
319.0000002,-22.9999998,154895.37109375
15.000000199999999,-20.9999998,12240.04345703125
17.0000002,-20.9999998,155529.10321044922
19.0000002,-20.9999998,6312.562881469727
27.0000002,-20.9999998,1407162.171875
29.0000002,-20.9999998,1460924.33984375
31.000000200000002,-20.9999998,1317730.9541015625
33.0000002,-20.9999998,3549304.630859375
35.0000002,-20.9999998,680833.849609375
47.0000002,-20.9999998,1783212.4375
49.0000002,-20.9999998,103552.9208984375
113.0000002,-20.9999998,4949.658203125
115.0000002,-20.9999998,56.50463104248047
141.0000002,-20.9999998,516.9301795959473
143.0000002,-20.9999998,1553.456485748291
145.0000002,-20.9999998,53601.51026916504
147.0000002,-20.9999998,63946.966941833496
149.0000002,-20.9999998,131376.89501953125
181.0000002,-20.9999998,1535.587158203125
289.0000002,-20.9999998,78278.8935546875
291.0000002,-20.9999998,146311.30126953125
293.0000002,-20.9999998,22137.778930664062
297.0000002,-20.9999998,5100.798583984375
299.0000002,-20.9999998,93752.18560791016
301.0000002,-20.9999998,62772.56385803223
303.0000002,-20.9999998,85125.95520019531
305.0000002,-20.9999998,1078036.8715820312
313.0000002,-20.9999998,2652034.869140625
315.0000002,-20.9999998,10760818.4453125
317.0000002,-20.9999998,14682826.21875
319.0000002,-20.9999998,21447419.30078125
15.000000199999999,-18.9999998,1510.5383834838867
17.0000002,-18.9999998,228577.2276611328
19.0000002,-18.9999998,96284.55676269531
21.0000002,-18.9999998,34597.1756439209
25.0000002,-18.9999998,61538.28955078125
27.0000002,-18.9999998,1392907.0322265625
29.0000002,-18.9999998,1220451.734375
31.000000200000002,-18.9999998,4022431.4453125
33.0000002,-18.9999998,9814395.96875
35.0000002,-18.9999998,4903269.2109375
37.0000002,-18.9999998,275270.1328125
45.0000002,-18.9999998,473668.40625
47.0000002,-18.9999998,11284563.7109375
49.0000002,-18.9999998,1585917.3623046875
121.0000002,-18.9999998,728.5698947906494
123.0000002,-18.9999998,176.01658725738525
141.0000002,-18.9999998,96.93289566040039
143.0000002,-18.9999998,245.31731414794922
145.0000002,-18.9999998,76956.46161651611
147.0000002,-18.9999998,1329501.7771787643
177.0000002,-18.9999998,1944354.53515625
179.0000002,-18.9999998,680204.0954589844
181.0000002,-18.9999998,7939.7088623046875
215.0000002,-18.9999998,250.6511034965515
289.0000002,-18.9999998,116705.23046875
291.0000002,-18.9999998,146868.90295410156
293.0000002,-18.9999998,375429.56494140625
297.0000002,-18.9999998,171601.66540527344
299.0000002,-18.9999998,88930.91925048828
301.0000002,-18.9999998,114263.48413085938
303.0000002,-18.9999998,5091.872543334961
305.0000002,-18.9999998,73510.26580810547
309.0000002,-18.9999998,379032.115234375
311.0000002,-18.9999998,579423.3798828125
313.0000002,-18.9999998,1715306.0571289062
315.0000002,-18.9999998,35228314.54589844
317.0000002,-18.9999998,13728955.73828125
319.0000002,-18.9999998,10831895.971679688
17.0000002,-16.9999998,36694.502197265625
19.0000002,-16.9999998,380437.21057128906
23.0000002,-16.9999998,95246.396484375
25.0000002,-16.9999998,624906.025390625
27.0000002,-16.9999998,1122509.84765625
29.0000002,-16.9999998,3016696.8828125
31.000000200000002,-16.9999998,10428432.6015625
33.0000002,-16.9999998,1667553.595703125
35.0000002,-16.9999998,11630674.69140625
37.0000002,-16.9999998,7332784.416015625
39.0000002,-16.9999998,892209.90625
43.0000002,-16.9999998,3506.79150390625
45.0000002,-16.9999998,704383.8037109375
47.0000002,-16.9999998,2587072.2421875
49.0000002,-16.9999998,2766644.985107422
121.0000002,-16.9999998,28.08820128440857
123.0000002,-16.9999998,1372.5483183860779
145.0000002,-16.9999998,249917.73135232925
177.0000002,-16.9999998,2275973.8489379883
179.0000002,-16.9999998,901996.2831420898
287.0000002,-16.9999998,32759.560546875
289.0000002,-16.9999998,787380.2568359375
291.0000002,-16.9999998,552521.6396484375
293.0000002,-16.9999998,295864.15234375
295.0000002,-16.9999998,29948.958984375
297.0000002,-16.9999998,1307101.4921875
299.0000002,-16.9999998,128048.66259765625
301.0000002,-16.9999998,110712.61531448364
303.0000002,-16.9999998,123352.5375213623
305.0000002,-16.9999998,975748.1128234863
307.0000002,-16.9999998,93732.9990234375
309.0000002,-16.9999998,868116.466796875
311.0000002,-16.9999998,5605887.995605469
313.0000002,-16.9999998,1442650.0126953125
315.0000002,-16.9999998,6521031.519775391
317.0000002,-16.9999998,4457010.830078125
319.0000002,-16.9999998,6651984.4453125
321.0000002,-16.9999998,1957107
353.0000002,-16.9999998,57.63400650024414
19.0000002,-14.9999998,4723.4324951171875
25.0000002,-14.9999998,116429.4599609375
27.0000002,-14.9999998,7146308.0615234375
29.0000002,-14.9999998,1548129.791015625
31.000000200000002,-14.9999998,89377.111328125
33.0000002,-14.9999998,390379.8203125
35.0000002,-14.9999998,16360625.53515625
37.0000002,-14.9999998,2754960.55859375
39.0000002,-14.9999998,1976916.2890625
45.0000002,-14.9999998,341824.4326171875
47.0000002,-14.9999998,1412392.1015625
49.0000002,-14.9999998,115384.390625
215.0000002,-14.9999998,3319.631622314453
219.0000002,-14.9999998,659.54766845703125
285.0000002,-14.9999998,171936.765625
289.0000002,-14.9999998,974171.501953125
291.0000002,-14.9999998,128883.728515625
293.0000002,-14.9999998,6259.52685546875
295.0000002,-14.9999998,191975.36450195312
297.0000002,-14.9999998,131199.943359375
299.0000002,-14.9999998,412207.7216796875
301.0000002,-14.9999998,389532.0734863281
303.0000002,-14.9999998,3477416.664794922
305.0000002,-14.9999998,580031.7269897461
307.0000002,-14.9999998,41961.012451171875
311.0000002,-14.9999998,8166952.076416016
313.0000002,-14.9999998,952997.8742675781
315.0000002,-14.9999998,1267528.6500854492
317.0000002,-14.9999998,1750160.4653320312
319.0000002,-14.9999998,1270067.6953125
321.0000002,-14.9999998,1375115.0261230469
353.0000002,-14.9999998,3024.35302734375
21.0000002,-12.9999998,55042.1015625
23.0000002,-12.9999998,234810.904296875
25.0000002,-12.9999998,23454.3125
27.0000002,-12.9999998,2959676.3818359375
29.0000002,-12.9999998,1361618.265625
33.0000002,-12.9999998,2678908.703125
35.0000002,-12.9999998,1979994.6884765625
37.0000002,-12.9999998,106563.23791503906
39.0000002,-12.9999998,1236517.19140625
41.0000002,-12.9999998,262557.25
45.0000002,-12.9999998,239966.578125
47.0000002,-12.9999998,206400.25
49.0000002,-12.9999998,367134.7734375
283.0000002,-12.9999998,39386701.38769531
285.0000002,-12.9999998,11796029.853515625
287.0000002,-12.9999998,727005.240234375
291.0000002,-12.9999998,17795.582885742188
293.0000002,-12.9999998,31390.878967285156
295.0000002,-12.9999998,56343.60876464844
297.0000002,-12.9999998,211730.67209625244
299.0000002,-12.9999998,1020619.442199707
301.0000002,-12.9999998,296434.4105987549
303.0000002,-12.9999998,434320.40466308594
305.0000002,-12.9999998,50704.566497802734
307.0000002,-12.9999998,30398.962768554688
309.0000002,-12.9999998,53596.04981994629
311.0000002,-12.9999998,318837.5096435547
313.0000002,-12.9999998,600915.1547241211
315.0000002,-12.9999998,1252208.2037963867
317.0000002,-12.9999998,1314486.431640625
319.0000002,-12.9999998,1824439.3125
321.0000002,-12.9999998,12076779.847076416
