x,y,value
287.0000002,-55,6397.662255859375
289.0000002,-55,1547.8119094848632
291.0000002,-55,50745.05941390991
293.0000002,-55,145719.95320739746
295.0000002,-55,50702.308886718754
287.0000002,-46.9999998,19908.22674560547
289.0000002,-46.9999998,11136.65693359375
291.0000002,-46.9999998,7834.122265625
289.0000002,-44.9999998,4883.874536132813
291.0000002,-44.9999998,195273.6074859619
293.0000002,-44.9999998,123893.85763168335
295.0000002,-44.9999998,218.27469787597656
171.0000002,-42.9999998,67048.49664916993
173.0000002,-42.9999998,4102.69677734375
291.0000002,-42.9999998,1494.7574676513673
293.0000002,-42.9999998,72947.3949066162
295.0000002,-42.9999998,404223.7017578125
289.0000002,-40.9999998,1369.3447509765624
293.0000002,-40.9999998,38043.58873291016
295.0000002,-40.9999998,89213.77341308593
297.0000002,-40.9999998,42882.39697265625
293.0000002,-38.9999998,42180.56782226563
295.0000002,-38.9999998,3248.611376953125
291.0000002,-36.9999998,3917.183813476562
347.0000002,-36.9999998,233.70260620117188
17.0000002,-34.9999998,347318.1625
19.0000002,-34.9999998,19307.5923828125
23.0000002,-34.9999998,115772.17157287597
25.0000002,-34.9999998,65189.928125
115.0000002,-34.9999998,3813.95439453125
287.0000002,-34.9999998,37468.4203125
289.0000002,-34.9999998,171065.4908203125
291.0000002,-34.9999998,56257.307421875
299.0000002,-34.9999998,121126.06718750001
305.0000002,-34.9999998,10631.1541015625
17.0000002,-32.9999998,769246.266796875
19.0000002,-32.9999998,97021.146875
115.0000002,-32.9999998,823673.2526260377
117.0000002,-32.9999998,4495.984155273438
287.0000002,-32.9999998,480176.0109375
289.0000002,-32.9999998,8839747.7548828125
291.0000002,-32.9999998,785919.195703125
293.0000002,-32.9999998,133306.56037597655
295.0000002,-32.9999998,528876.2
303.0000002,-32.9999998,1302.7089599609376
305.0000002,-32.9999998,272651.87576904293
307.0000002,-32.9999998,578122.4614501953
25.0000002,-30.9999998,22978.627734375
115.0000002,-30.9999998,2091631.9856665612
141.0000002,-30.9999998,7.278601837158203
287.0000002,-30.9999998,43783.70903320312
289.0000002,-30.9999998,118513.8322265625
291.0000002,-30.9999998,35128.62724609375
293.0000002,-30.9999998,45022.80678710937
295.0000002,-30.9999998,663124.2671875
303.0000002,-30.9999998,417495.77275390626
305.0000002,-30.9999998,995294.2020507812
307.0000002,-30.9999998,210444.23251953124
23.0000002,-28.9999998,7536.873681640625
25.0000002,-28.9999998,1184290.5865234376
27.0000002,-28.9999998,2282541.33828125
139.0000002,-28.9999998,64.62578411102295
141.0000002,-28.9999998,56.41879205703735
291.0000002,-28.9999998,22795.390625
293.0000002,-28.9999998,17701.546484375
301.0000002,-28.9999998,40688.91640625
303.0000002,-28.9999998,75894.346875
305.0000002,-28.9999998,363821.75859375
215.0000002,-26.9999998,2763.0472412109375
251.0000002,-26.9999998,54771.781152343756
291.0000002,-26.9999998,14750.9095703125
301.0000002,-26.9999998,254670.803125
289.0000002,-24.9999998,34018.52265625
291.0000002,-24.9999998,100903.36930847168
293.0000002,-24.9999998,10386.384350585937
209.0000002,-22.9999998,26100.103637695312
211.0000002,-22.9999998,15302.71142578125
225.0000002,-22.9999998,3527.650390625
289.0000002,-22.9999998,26304.861328125
291.0000002,-22.9999998,110078.66722412109
293.0000002,-22.9999998,19049.088305664063
305.0000002,-22.9999998,580034.5264648438
307.0000002,-22.9999998,59239.94140625
309.0000002,-22.9999998,311498.7125
319.0000002,-22.9999998,55661.2328125
17.0000002,-20.9999998,11179.453491210938
19.0000002,-20.9999998,3564.869058227539
33.0000002,-20.9999998,204736.725
35.0000002,-20.9999998,41063.46875
47.0000002,-20.9999998,653468.596875
49.0000002,-20.9999998,45530.97109375
221.0000002,-20.9999998,539.792936706543
289.0000002,-20.9999998,54839.52265625
291.0000002,-20.9999998,83803.38372802734
293.0000002,-20.9999998,143461.3631591797
295.0000002,-20.9999998,295081.6646484375
297.0000002,-20.9999998,33165.99084472656
305.0000002,-20.9999998,118266.46850585938
319.0000002,-20.9999998,7494744.286718749
15.000000199999999,-18.9999998,68659.45966644287
17.0000002,-18.9999998,112528.18348388672
19.0000002,-18.9999998,28884.5994140625
35.0000002,-18.9999998,1108286.95
37.0000002,-18.9999998,91567.3234375
47.0000002,-18.9999998,4688660.1640625
49.0000002,-18.9999998,754790.1182617188
63.0000002,-18.9999998,163408.21875
121.0000002,-18.9999998,777.1711872816086
123.0000002,-18.9999998,317.248468208313
215.0000002,-18.9999998,239.04950845241544
289.0000002,-18.9999998,420767.922290039
291.0000002,-18.9999998,135896.37658691406
293.0000002,-18.9999998,2305204.7551757814
295.0000002,-18.9999998,2200251.8509765626
297.0000002,-18.9999998,813457.4484375
299.0000002,-18.9999998,31462.829711914062
305.0000002,-18.9999998,35384.565625
309.0000002,-18.9999998,139255.6501953125
311.0000002,-18.9999998,1178677.0416015624
319.0000002,-18.9999998,2474042.0192382815
15.000000199999999,-16.9999998,647234.2171875
17.0000002,-16.9999998,263220.3427734375
35.0000002,-16.9999998,2504094.4070312497
37.0000002,-16.9999998,785554.4803710937
49.0000002,-16.9999998,712820.1487426758
121.0000002,-16.9999998,41331.63170514107
123.0000002,-16.9999998,7700.2266092300415
145.0000002,-16.9999998,7064.664744567872
207.0000002,-16.9999998,94586.76347656251
209.0000002,-16.9999998,1339551.185546875
211.0000002,-16.9999998,667831.921875
287.0000002,-16.9999998,72824.5734375
289.0000002,-16.9999998,1653853.8748046875
291.0000002,-16.9999998,4410397.53125
293.0000002,-16.9999998,7035459.500390625
295.0000002,-16.9999998,1737569.228515625
297.0000002,-16.9999998,11326087.153320312
299.0000002,-16.9999998,31847.5001953125
301.0000002,-16.9999998,82676.713671875
303.0000002,-16.9999998,43336.38515014649
305.0000002,-16.9999998,19352.943646240234
307.0000002,-16.9999998,88687.4671875
309.0000002,-16.9999998,499417.48466796876
311.0000002,-16.9999998,3778439.9725097655
313.0000002,-16.9999998,216735.774609375
319.0000002,-16.9999998,439122.5
321.0000002,-16.9999998,245321.744921875
353.0000002,-16.9999998,61.21685562133789
27.0000002,-14.9999998,2548970.6140624997
29.0000002,-14.9999998,202174.06328125
33.0000002,-14.9999998,2045396.9749999999
35.0000002,-14.9999998,7409566.39609375
145.0000002,-14.9999998,4278.86572265625
181.0000002,-14.9999998,16646.7875
187.0000002,-14.9999998,16405.78916015625
189.0000002,-14.9999998,163394.20546874998
215.0000002,-14.9999998,16181.874420166016
219.0000002,-14.9999998,3225.9424438476562
285.0000002,-14.9999998,31067.57734375
289.0000002,-14.9999998,1024109.151953125
291.0000002,-14.9999998,128558.58984375
295.0000002,-14.9999998,62613.63466796875
297.0000002,-14.9999998,70904.7392578125
299.0000002,-14.9999998,111423.58095703126
301.0000002,-14.9999998,11402.103979492187
303.0000002,-14.9999998,869992.030859375
309.0000002,-14.9999998,82812.98203125
311.0000002,-14.9999998,3088335.574609375
313.0000002,-14.9999998,139436.94736328124
353.0000002,-14.9999998,3212.36357421875
