x,y,value
145.0000002,-43,17806.583214753868
147.0000002,-43,1223240.0721099854
171.0000002,-43,122684.84999389648
173.0000002,-43,426753.47048699856
143.0000002,-40.9999998,657.1436599731445
145.0000002,-40.9999998,406158.97871294024
147.0000002,-40.9999998,828890.7976088524
171.0000002,-40.9999998,26215.158549499512
173.0000002,-40.9999998,401815.7757202149
175.0000002,-40.9999998,1819693.7702941895
141.0000002,-38.9999998,225118.8276977539
143.0000002,-38.9999998,1257938.2632416666
145.0000002,-38.9999998,3872758.922316551
147.0000002,-38.9999998,330299.1194954783
173.0000002,-38.9999998,596010.3047851562
175.0000002,-38.9999998,1079314.3952911377
177.0000002,-38.9999998,274444.7282714844
299.0000002,-38.9999998,87707.642578125
301.0000002,-38.9999998,331943.82477874757
137.0000002,-36.9999998,326.3182210922241
139.0000002,-36.9999998,73827.76867370606
141.0000002,-36.9999998,524451.7766113281
143.0000002,-36.9999998,1309979.4206542969
145.0000002,-36.9999998,18932940.775927734
147.0000002,-36.9999998,791428.9280670166
149.0000002,-36.9999998,61813.422160720824
175.0000002,-36.9999998,942269.9849609375
293.0000002,-36.9999998,2854.178759765625
295.0000002,-36.9999998,100561.36875
297.0000002,-36.9999998,134270.2314453125
299.0000002,-36.9999998,150854.6923828125
301.0000002,-36.9999998,775072.3595214844
303.0000002,-36.9999998,82622.37753906251
347.0000002,-36.9999998,668.5519042968749
17.0000002,-34.9999998,618578.225
19.0000002,-34.9999998,4097011.948535156
21.0000002,-34.9999998,549793.5533203125
23.0000002,-34.9999998,189263.55885925292
25.0000002,-34.9999998,59259.01860351562
115.0000002,-34.9999998,73647.4083404541
117.0000002,-34.9999998,270554.8999702454
119.0000002,-34.9999998,3220.8727727651594
121.0000002,-34.9999998,30.98264923095703
123.0000002,-34.9999998,2.1893067836761473
135.0000002,-34.9999998,82494.68679656982
137.0000002,-34.9999998,482414.905657959
139.0000002,-34.9999998,4820935.902026367
141.0000002,-34.9999998,97101.88568954468
143.0000002,-34.9999998,50235.2895111084
145.0000002,-34.9999998,307957.42879638675
147.0000002,-34.9999998,982638.8197753906
149.0000002,-34.9999998,649100.0752929688
151.0000002,-34.9999998,739496.294921875
289.0000002,-34.9999998,20624.675390625
291.0000002,-34.9999998,152779.62998046874
293.0000002,-34.9999998,174919.609375
295.0000002,-34.9999998,125485.87421875
297.0000002,-34.9999998,113287.6388671875
299.0000002,-34.9999998,210153.67421875
301.0000002,-34.9999998,7096000.75390625
303.0000002,-34.9999998,13773.91220703125
17.0000002,-32.9999998,945116.1812500001
19.0000002,-32.9999998,7226790.5997131355
21.0000002,-32.9999998,246716.06928710936
23.0000002,-32.9999998,90183.033984375
115.0000002,-32.9999998,5180563.258221435
117.0000002,-32.9999998,139059.72525634765
119.0000002,-32.9999998,11815.501692199707
121.0000002,-32.9999998,40203.8316198349
123.0000002,-32.9999998,973.3173887252808
125.0000002,-32.9999998,7.570184135437012
131.0000002,-32.9999998,1.9993990898132323
133.0000002,-32.9999998,17831.73502075672
135.0000002,-32.9999998,20135.27060203552
137.0000002,-32.9999998,200010.89972572328
139.0000002,-32.9999998,37082.84041290283
141.0000002,-32.9999998,415.36568489074705
145.0000002,-32.9999998,14584.000384521485
147.0000002,-32.9999998,305337.8243469238
149.0000002,-32.9999998,1337779.3896972656
151.0000002,-32.9999998,7988421.928955078
287.0000002,-32.9999998,69223.165625
289.0000002,-32.9999998,3839803.9169921875
291.0000002,-32.9999998,88179.24296875
293.0000002,-32.9999998,138212.59838867188
295.0000002,-32.9999998,583134.264453125
297.0000002,-32.9999998,203406.08515625
301.0000002,-32.9999998,79439.39375
29.0000002,-30.9999998,369539.06875
31.000000200000002,-30.9999998,477784.71015625
115.0000002,-30.9999998,5806786.967318249
117.0000002,-30.9999998,88847.90907135009
119.0000002,-30.9999998,244.93922805786133
121.0000002,-30.9999998,66874.54595108032
123.0000002,-30.9999998,217.09926490783693
131.0000002,-30.9999998,120.9449089050293
133.0000002,-30.9999998,1844.0262352466584
135.0000002,-30.9999998,165.64558124542236
137.0000002,-30.9999998,2100.5557428836823
139.0000002,-30.9999998,153.3208460330963
141.0000002,-30.9999998,19.854205322265624
145.0000002,-30.9999998,5333.034475708008
147.0000002,-30.9999998,7494.336557006836
149.0000002,-30.9999998,13607.67529296875
151.0000002,-30.9999998,10808.36173095703
159.0000002,-30.9999998,692.7288743972778
287.0000002,-30.9999998,11720.60498046875
289.0000002,-30.9999998,42635.855249023436
291.0000002,-30.9999998,478443.30991210934
293.0000002,-30.9999998,76445.68105468749
295.0000002,-30.9999998,2078657.8272460937
297.0000002,-30.9999998,318383.26176757814
299.0000002,-30.9999998,12445.140625
303.0000002,-30.9999998,78585.19643554688
307.0000002,-30.9999998,402844.910546875
309.0000002,-30.9999998,7680879.392236328
29.0000002,-28.9999998,721340.775
31.000000200000002,-28.9999998,4799615.303515625
113.0000002,-28.9999998,1776.1828369140624
115.0000002,-28.9999998,262453.97901535034
117.0000002,-28.9999998,1788.0707145690917
121.0000002,-28.9999998,2517.5228366851807
123.0000002,-28.9999998,78.90000619888306
133.0000002,-28.9999998,43.70784149169922
135.0000002,-28.9999998,25.21572666168213
137.0000002,-28.9999998,75.92106251716613
139.0000002,-28.9999998,53.86673955917358
141.0000002,-28.9999998,139.73942909240722
143.0000002,-28.9999998,44.833527183532716
149.0000002,-28.9999998,1281.398208618164
151.0000002,-28.9999998,395.4100708007812
289.0000002,-28.9999998,245696.00134277344
291.0000002,-28.9999998,140631.65430908202
293.0000002,-28.9999998,252387.325390625
295.0000002,-28.9999998,53526.598046875006
297.0000002,-28.9999998,61007.33100585938
299.0000002,-28.9999998,68718.4783203125
301.0000002,-28.9999998,96252.0115234375
303.0000002,-28.9999998,368579.9229736328
305.0000002,-28.9999998,1876213.3138671876
307.0000002,-28.9999998,9325283.23046875
309.0000002,-28.9999998,18540478.861718748
311.0000002,-28.9999998,5114332.9859375
27.0000002,-26.9999998,3833761.7
29.0000002,-26.9999998,318611.37421875
113.0000002,-26.9999998,9284.32315325737
115.0000002,-26.9999998,1403.654734516144
117.0000002,-26.9999998,15.121867561340332
137.0000002,-26.9999998,18.99790439605713
139.0000002,-26.9999998,53.62520694732666
141.0000002,-26.9999998,76.82160997390747
147.0000002,-26.9999998,100.15074310302734
149.0000002,-26.9999998,9587.353750610351
151.0000002,-26.9999998,237509.3557434082
153.0000002,-26.9999998,1727136.6109375
289.0000002,-26.9999998,320918.0465332031
291.0000002,-26.9999998,358974.29861450195
293.0000002,-26.9999998,32359.72673339844
303.0000002,-26.9999998,519683.0701171875
305.0000002,-26.9999998,4284055.248437501
307.0000002,-26.9999998,11877784.4609375
309.0000002,-26.9999998,6804647.375
311.0000002,-26.9999998,11752525.29140625
23.0000002,-24.9999998,52966.9693359375
25.0000002,-24.9999998,81296.39619140625
27.0000002,-24.9999998,3068272.175
29.0000002,-24.9999998,1931308.85625
113.0000002,-24.9999998,24670.918046969175
115.0000002,-24.9999998,297.53035869598386
117.0000002,-24.9999998,28.946804904937743
121.0000002,-24.9999998,82.90130233764648
123.0000002,-24.9999998,59.34729652404785
149.0000002,-24.9999998,1375.8355926513673
151.0000002,-24.9999998,99374.07412834169
153.0000002,-24.9999998,136483.10227890016
289.0000002,-24.9999998,17816.790380859376
291.0000002,-24.9999998,560858.5926818848
293.0000002,-24.9999998,804.8661102294922
305.0000002,-24.9999998,3687770.909375
307.0000002,-24.9999998,8279101.1171875
309.0000002,-24.9999998,3211540.191796875
311.0000002,-24.9999998,8055289.105273438
313.0000002,-24.9999998,239630.5046875
113.0000002,-22.9999998,1313.0861045837403
115.0000002,-22.9999998,673.0660186767578
117.0000002,-22.9999998,146.10135803222656
119.0000002,-22.9999998,1369.3440795898437
121.0000002,-22.9999998,498.4378715515137
123.0000002,-22.9999998,45.338925457000734
137.0000002,-22.9999998,50.03841304779053
139.0000002,-22.9999998,108.00647621154785
141.0000002,-22.9999998,71.06015129089356
209.0000002,-22.9999998,2628.0427062988283
211.0000002,-22.9999998,1508.6409912109375
289.0000002,-22.9999998,1910.2888916015625
291.0000002,-22.9999998,119624.08955078125
305.0000002,-22.9999998,535661.21328125
307.0000002,-22.9999998,7027400.568164063
309.0000002,-22.9999998,9739510.53359375
311.0000002,-22.9999998,3004955.86328125
313.0000002,-22.9999998,28078166.5328125
315.0000002,-22.9999998,265987.2328125
33.0000002,-20.9999998,278308.9015625
115.0000002,-20.9999998,816.416372680664
117.0000002,-20.9999998,42939.98265991211
119.0000002,-20.9999998,13446.608024597168
129.0000002,-20.9999998,10.459129238128662
135.0000002,-20.9999998,232.85541610717775
137.0000002,-20.9999998,616.8516550064087
139.0000002,-20.9999998,41331.59426708221
141.0000002,-20.9999998,5681.366773223877
163.0000002,-20.9999998,14229.01806640625
165.0000002,-20.9999998,1863.800390625
181.0000002,-20.9999998,854.5219482421875
289.0000002,-20.9999998,54876.213671875
291.0000002,-20.9999998,47629.81879882813
293.0000002,-20.9999998,14034.166845703125
305.0000002,-20.9999998,2763.36396484375
307.0000002,-20.9999998,588919.9966796875
309.0000002,-20.9999998,2731460.27421875
311.0000002,-20.9999998,176231.8109375
33.0000002,-18.9999998,1036807.8390625
131.0000002,-18.9999998,682.8793115615845
133.0000002,-18.9999998,3042.6164439201357
135.0000002,-18.9999998,240.53486309051513
137.0000002,-18.9999998,708.7801020622253
139.0000002,-18.9999998,932.4081401824951
141.0000002,-18.9999998,818.484052658081
143.0000002,-18.9999998,163.25829696655273
181.0000002,-18.9999998,3534.6248046875
289.0000002,-18.9999998,723473.6218750001
291.0000002,-18.9999998,11130.957080078126
293.0000002,-18.9999998,749949.92919921875
295.0000002,-18.9999998,575030.326171875
297.0000002,-18.9999998,129591.175
299.0000002,-18.9999998,22250.48874511719
301.0000002,-18.9999998,104308.68969726562
303.0000002,-18.9999998,9244.470428466797
305.0000002,-18.9999998,228649.16441040038
33.0000002,-16.9999998,579554.365625
35.0000002,-16.9999998,9785788.35625
37.0000002,-16.9999998,3754787.2046875
129.0000002,-16.9999998,139.80730323791505
131.0000002,-16.9999998,1105.046095466614
133.0000002,-16.9999998,514.2675128936768
135.0000002,-16.9999998,1400.992093372345
137.0000002,-16.9999998,469.99890184402466
139.0000002,-16.9999998,5203.235998225212
141.0000002,-16.9999998,3827.711229324341
143.0000002,-16.9999998,145.8557922363281
287.0000002,-16.9999998,93757.3099609375
289.0000002,-16.9999998,644287.0876953125
291.0000002,-16.9999998,1080386.844140625
293.0000002,-16.9999998,962351.883984375
295.0000002,-16.9999998,74051.3765625
297.0000002,-16.9999998,1720298.9268554687
299.0000002,-16.9999998,50717.67927246094
301.0000002,-16.9999998,96624.69312591552
303.0000002,-16.9999998,45425.25817947388
305.0000002,-16.9999998,275896.33591308596
307.0000002,-16.9999998,29043.05324707031
321.0000002,-16.9999998,52785.19609375
353.0000002,-16.9999998,386.3237411499024
33.0000002,-14.9999998,12712082.703125
35.0000002,-14.9999998,36814301.684375
37.0000002,-14.9999998,7533095.392187499
129.0000002,-14.9999998,5743.208872342109
131.0000002,-14.9999998,615.2238914489747
133.0000002,-14.9999998,591.0715745925903
135.0000002,-14.9999998,30.584599113464357
141.0000002,-14.9999998,3346.5976615428926
143.0000002,-14.9999998,95.33087606430054
215.0000002,-14.9999998,9438.78151245117
219.0000002,-14.9999998,1891.3022827148436
283.0000002,-14.9999998,241219.31875
289.0000002,-14.9999998,323597.471875
291.0000002,-14.9999998,159386.573828125
297.0000002,-14.9999998,4684.6849365234375
299.0000002,-14.9999998,48815.6111328125
301.0000002,-14.9999998,123085.00305175781
303.0000002,-14.9999998,1049962.191064453
305.0000002,-14.9999998,162272.4189819336
307.0000002,-14.9999998,13098.952978515625
319.0000002,-14.9999998,160557.55625
321.0000002,-14.9999998,127325.1953125
353.0000002,-14.9999998,20272.395703125003
25.0000002,-12.9999998,133271.692578125
33.0000002,-12.9999998,10633054.80625
35.0000002,-12.9999998,2659274.3078125003
37.0000002,-12.9999998,119707.32734375002
39.0000002,-12.9999998,238702.3291015625
41.0000002,-12.9999998,23104.887890625
43.0000002,-12.9999998,301111.2296875
45.0000002,-12.9999998,190895.06796264648
47.0000002,-12.9999998,258069.17802734376
49.0000002,-12.9999998,1018046.3594238281
97.0000002,-12.9999998,1600.3141479492188
129.0000002,-12.9999998,571.2364547729492
131.0000002,-12.9999998,268068.7070274353
133.0000002,-12.9999998,15834.721646213531
135.0000002,-12.9999998,6302.521857452393
141.0000002,-12.9999998,5429.488725447654
143.0000002,-12.9999998,7.19341459274292
